2024-09-26 19:43:41,702 | flet_runtime | DEBUG | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"page","eventName":"resize","eventData":"1438.0,773.0"}}:
2024-09-26 19:43:41,703 | flet_core | DEBUG | page.on_event_async: page change [{"i":"page","width":"1438.0","height":"773.0","windowwidth":"1438.0","windowheight":"773.0","windowtop":"0.0","windowleft":"0.0","windowminimized":"false","windowmaximized":"false","windowfocused":"false","windowfullscreen":"false"}]:
2024-09-26 19:43:41,703 | flet_core | DEBUG | page.on_event_async: page resize 1438.0,773.0:
2024-09-26 19:43:42,760 | flet_runtime | DEBUG | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_5","eventName":"focus","eventData":""}}:
2024-09-26 19:43:42,760 | flet_core | DEBUG | page.on_event_async: _5 focus :
2024-09-26 19:43:43,948 | flet_runtime | DEBUG | _on_message: {"action":"updateControlProps","payload":{"props":[{"i":"_5","value":"192.168.1"}]}}:
2024-09-26 19:43:43,948 | flet_core | DEBUG | page.on_event_async: page change [{"i":"_5","value":"192.168.1"}]:
2024-09-26 19:43:44,066 | flet_runtime | DEBUG | _on_message: {"action":"updateControlProps","payload":{"props":[{"i":"_5","value":"192.168.10"}]}}:
2024-09-26 19:43:44,066 | flet_core | DEBUG | page.on_event_async: page change [{"i":"_5","value":"192.168.10"}]:
2024-09-26 19:43:44,725 | flet_runtime | DEBUG | _on_message: {"action":"updateControlProps","payload":{"props":[{"i":"_5","value":"192.168.108"}]}}:
2024-09-26 19:43:44,725 | flet_core | DEBUG | page.on_event_async: page change [{"i":"_5","value":"192.168.108"}]:
2024-09-26 19:43:45,160 | flet_runtime | DEBUG | _on_message: {"action":"updateControlProps","payload":{"props":[{"i":"_5","value":"192.168.108."}]}}:
2024-09-26 19:43:45,160 | flet_core | DEBUG | page.on_event_async: page change [{"i":"_5","value":"192.168.108."}]:
2024-09-26 19:43:46,207 | flet_runtime | DEBUG | _on_message: {"action":"updateControlProps","payload":{"props":[{"i":"_5","value":"192.168.108.8"}]}}:
2024-09-26 19:43:46,208 | flet_core | DEBUG | page.on_event_async: page change [{"i":"_5","value":"192.168.108.8"}]:
2024-09-26 19:43:50,222 | flet_runtime | DEBUG | _on_message: {"action":"updateControlProps","payload":{"props":[{"i":"_5","value":"192.168.10.8"}]}}:
2024-09-26 19:43:50,223 | flet_core | DEBUG | page.on_event_async: page change [{"i":"_5","value":"192.168.10.8"}]:
2024-09-26 19:43:50,505 | flet_runtime | DEBUG | _on_message: {"action":"updateControlProps","payload":{"props":[{"i":"_5","value":"192.168.100.8"}]}}:
2024-09-26 19:43:50,505 | flet_core | DEBUG | page.on_event_async: page change [{"i":"_5","value":"192.168.100.8"}]:
2024-09-26 19:43:51,762 | flet_runtime | DEBUG | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_5","eventName":"blur","eventData":""}}:
2024-09-26 19:43:51,762 | flet_core | DEBUG | page.on_event_async: _5 blur :
2024-09-26 19:43:51,942 | flet_runtime | DEBUG | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_7","eventName":"click","eventData":""}}:
2024-09-26 19:43:51,942 | flet_core | DEBUG | page.on_event_async: _7 click :
2024-09-26 19:43:51,943 | __main__ | INFO | server address: 192.168.100.8:54321:
2024-09-26 19:43:51,943 | __main__ | INFO | Connecting to server: ws://192.168.100.8:54322/ws:
2024-09-26 19:43:51,949 | websocket | INFO | Websocket connected:
2024-09-26 19:43:51,949 | __main__ | INFO | WebSocket connection opened:
2024-09-26 19:43:51,949 | __main__ | INFO | Connection event: <threading.Event at 0x7f5c9c19eba0: set>:
2024-09-26 19:43:51,950 | flet_core | DEBUG | _process_command: add [] {'to': '_8', 'at': '0'}:
2024-09-26 19:43:51,950 | flet_runtime | DEBUG | __send: {"action":"pageControlsBatch","payload":[{"action":"addPageControls","payload":{"controls":[{"t":"snackbar","i":"_9","p":"_8","c":["_10"],"at":"0","open":"true","showcloseicon":"false"},{"t":"text","i":"_10","p":"_9","c":[],"n":"content","value":"Successfully connected to server"}],"trimIDs":[]}}]}:
2024-09-26 19:43:51,950 | flet_core | DEBUG | _process_command: clean ['page'] {}:
2024-09-26 19:43:51,950 | flet_runtime | DEBUG | __send: {"action":"cleanControl","payload":{"ids":["page"]}}:
2024-09-26 19:43:51,951 | flet_core | DEBUG | _process_command: add [] {'to': 'page', 'at': '0'}:
2024-09-26 19:43:51,951 | flet_core | DEBUG | _process_command: add [] {'to': 'page', 'at': '1'}:
2024-09-26 19:43:51,951 | flet_runtime | DEBUG | __send: {"action":"pageControlsBatch","payload":[{"action":"addPageControls","payload":{"controls":[{"t":"view","i":"_1","p":"page","c":["_11","_14"],"at":"0","verticalalignment":"center"},{"t":"navigationbar","i":"_11","p":"_1","c":["_12","_13"]},{"t":"navigationdestination","i":"_12","p":"_11","c":[],"icon":"login","label":"Authorization"},{"t":"navigationdestination","i":"_13","p":"_11","c":[],"icon":"new_label","label":"Registration"},{"t":"row","i":"_14","p":"_1","c":["_15"],"alignment":"center"},{"t":"column","i":"_15","p":"_14","c":["_16","_17","_18","_19"],"alignment":"center","horizontalalignment":"center"},{"t":"text","i":"_16","p":"_15","c":[],"value":"Authorization"},{"t":"textfield","i":"_17","p":"_15","c":[],"label":"Username","onchange":"true","width":"300"},{"t":"textfield","i":"_18","p":"_15","c":[],"canrevealpassword":"true","label":"Password","onchange":"true","password":"true","width":"300"},{"t":"elevatedbutton","i":"_19","p":"_15","c":[],"disabled":"true","text":"Login"}],"trimIDs":[]}},{"action":"addPageControls","payload":{"controls":[{"t":"offstage","i":"_8","p":"page","c":["_9"],"at":"1"},{"t":"snackbar","i":"_9","p":"_8","c":["_10"],"open":"true","showcloseicon":"false"},{"t":"text","i":"_10","p":"_9","c":[],"n":"content","value":"Successfully connected to server"}],"trimIDs":[]}}]}:
2024-09-26 19:43:51,951 | flet_runtime | DEBUG | sent to TCP: 303:
2024-09-26 19:43:51,952 | flet_runtime | DEBUG | sent to TCP: 56:
2024-09-26 19:43:51,952 | flet_runtime | DEBUG | sent to TCP: 1326:
2024-09-26 19:43:51,974 | flet_runtime | DEBUG | _on_message: {"action":"updateControlProps","payload":{"props":[{"i":"_9","open":"false"}]}}:
2024-09-26 19:43:51,974 | flet_core | DEBUG | page.on_event_async: page change [{"i":"_9","open":"false"}]:
2024-09-26 19:43:52,260 | flet_runtime | DEBUG | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_9","eventName":"visible","eventData":""}}:
2024-09-26 19:43:52,260 | flet_core | DEBUG | page.on_event_async: _9 visible :
2024-09-26 19:43:53,198 | flet_runtime | DEBUG | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_17","eventName":"focus","eventData":""}}:
2024-09-26 19:43:53,198 | flet_core | DEBUG | page.on_event_async: _17 focus :
2024-09-26 19:43:53,448 | flet_runtime | DEBUG | _on_message: {"action":"updateControlProps","payload":{"props":[{"i":"_17","value":"1"}]}}:
2024-09-26 19:43:53,449 | flet_runtime | DEBUG | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_17","eventName":"change","eventData":"1"}}:
2024-09-26 19:43:53,449 | flet_core | DEBUG | page.on_event_async: page change [{"i":"_17","value":"1"}]:
2024-09-26 19:43:53,449 | flet_core | DEBUG | page.on_event_async: _17 change 1:
2024-09-26 19:43:54,285 | flet_runtime | DEBUG | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_17","eventName":"blur","eventData":""}}:
2024-09-26 19:43:54,286 | flet_core | DEBUG | page.on_event_async: _17 blur :
2024-09-26 19:43:54,286 | flet_runtime | DEBUG | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_18","eventName":"focus","eventData":""}}:
2024-09-26 19:43:54,286 | flet_core | DEBUG | page.on_event_async: _18 focus :
2024-09-26 19:43:54,445 | flet_runtime | DEBUG | _on_message: {"action":"updateControlProps","payload":{"props":[{"i":"_18","value":"1"}]}}:
2024-09-26 19:43:54,445 | flet_runtime | DEBUG | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_18","eventName":"change","eventData":"1"}}:
2024-09-26 19:43:54,445 | flet_core | DEBUG | page.on_event_async: page change [{"i":"_18","value":"1"}]:
2024-09-26 19:43:54,446 | flet_core | DEBUG | page.on_event_async: _18 change 1:
2024-09-26 19:43:54,447 | flet_core | DEBUG | _process_command: set ['_19'] {'disabled': 'false'}:
2024-09-26 19:43:54,447 | flet_runtime | DEBUG | __send: {"action":"pageControlsBatch","payload":[{"action":"updateControlProps","payload":{"props":[{"i":"_19","disabled":"false"}]}}]}:
2024-09-26 19:43:54,448 | flet_runtime | DEBUG | sent to TCP: 131:
2024-09-26 19:43:54,463 | flet_runtime | DEBUG | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_19","eventName":"blur","eventData":""}}:
2024-09-26 19:43:54,464 | flet_core | DEBUG | page.on_event_async: _19 blur :
2024-09-26 19:43:55,253 | flet_runtime | DEBUG | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_18","eventName":"blur","eventData":""}}:
2024-09-26 19:43:55,254 | flet_core | DEBUG | page.on_event_async: _18 blur :
2024-09-26 19:43:55,434 | flet_runtime | DEBUG | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_19","eventName":"click","eventData":""}}:
2024-09-26 19:43:55,434 | flet_core | DEBUG | page.on_event_async: _19 click :
2024-09-26 19:43:55,438 | urllib3.connectionpool | DEBUG | Starting new HTTP connection (1): 192.168.100.8:54321:
2024-09-26 19:43:55,445 | urllib3.connectionpool | DEBUG | http://192.168.100.8:54321 "POST /login HTTP/1.1" 200 72:
2024-09-26 19:43:55,447 | flet_core | DEBUG | _process_command: remove ['_9'] {}:
2024-09-26 19:43:55,447 | flet_core | DEBUG | _process_command: add [] {'to': '_8', 'at': '0'}:
2024-09-26 19:43:55,447 | flet_runtime | DEBUG | __send: {"action":"pageControlsBatch","payload":[{"action":"removeControl","payload":{"ids":["_9"]}},{"action":"addPageControls","payload":{"controls":[{"t":"snackbar","i":"_20","p":"_8","c":["_21"],"at":"0","open":"true","showcloseicon":"false"},{"t":"text","i":"_21","p":"_20","c":[],"n":"content","value":"Login successful!"}],"trimIDs":[]}}]}:
2024-09-26 19:43:55,447 | flet_runtime | DEBUG | sent to TCP: 342:
2024-09-26 19:43:55,466 | flet_runtime | DEBUG | _on_message: {"action":"updateControlProps","payload":{"props":[{"i":"_20","open":"false"}]}}:
2024-09-26 19:43:55,467 | flet_core | DEBUG | page.on_event_async: page change [{"i":"_20","open":"false"}]:
2024-09-26 19:43:55,743 | flet_runtime | DEBUG | _on_message: {"action":"pageEventFromWeb","payload":{"eventTarget":"_20","eventName":"visible","eventData":""}}:
2024-09-26 19:43:55,744 | flet_core | DEBUG | page.on_event_async: _20 visible :
2024-09-26 19:43:55,948 | flet_core | DEBUG | _process_command: clean ['page'] {}:
